Instrument type,Instrument,Mooring,Serial No,Sample Period (secs),Depth,Max Depth,Bottom Depth at deployment,T-Cal bath?,Lat,Long,Clock offset(s),Clock offset end (s),Anchor deploy time (in),Release time (out),Time in Cal bath,Time out cal bath
Star Oddi,Starmon Mini,EAC4700,T-4059,300,210,11000,4745,1,-27.2086,154.6471,0,-600,25/4/12 6:33,25/8/13 23:20,26/8/13 1:11,26/8/13 9:45
Star Oddi,Starmon Mini,EAC4700,T-4060,300,260,11000,4745,1,-27.2086,154.6471,0,-300,25/4/12 6:33,25/8/13 23:20,26/8/13 1:15,26/8/13 9:45
Star Oddi,Starmon Mini,EAC4700,T-4061,300,310,11000,4745,1,-27.2086,154.6471,0,-1200,25/4/12 6:33,25/8/13 23:20,26/8/13 1:17,26/8/13 9:45
RDI ADCP,WHL75,EAC4700,16429,3600,360,1500,4745,0,-27.2086,154.6471,0,-1800,25/4/12 6:33,25/8/13 23:20,0/01/00 0:00,0/01/00 0:00
Star Oddi,Starmon Mini,EAC4700,T-4062,300,362,11000,4745,1,-27.2086,154.6471,0,-600,25/4/12 6:33,25/8/13 23:20,26/8/13 1:42,26/8/13 9:45
SBE37SMP,SBE37SMP,EAC4700,9178,600,460,3500,4745,1,-27.2086,154.6471,0,0,25/4/12 6:33,25/8/13 23:20,26/8/13 1:44,26/8/13 9:45
Nortek DW,Aquadop DW,EAC4700,A6L-5011 (AQD 9870),1800,560,6000,4745,1,-27.2086,154.6471,0,0,25/4/12 6:33,25/8/13 23:20,26/8/13 2:38,26/8/13 9:45
Star Oddi,Starmon Mini,EAC4700,T-4063,300,563,11000,4745,1,-27.2086,154.6471,0,-900,25/4/12 6:33,25/8/13 23:20,26/8/13 2:25,26/8/13 9:45
Star Oddi,Starmon Mini,EAC4700,T-4066,300,760,11000,4745,1,-27.2086,154.6471,0,-600,25/4/12 6:33,25/8/13 23:20,26/8/13 2:46,26/8/13 9:45
Nortek DW,Aquadop DW,EAC4700,A6L-4891 (AQD 9872),1800,961,3500,4745,1,-27.2086,154.6471,0,6,25/4/12 6:33,25/8/13 23:20,26/8/13 2:51,26/8/13 9:45
SBE37SMP,SBE37SMP,EAC4700,9179,600,962,6000,4745,1,-27.2086,154.6471,6,0,25/4/12 6:33,25/8/13 23:20,26/8/13 2:45,26/8/13 9:45
Star Oddi,Starmon Mini,EAC4700,T-4067,300,1165,11000,4745,1,-27.2086,154.6471,0,-1500,25/4/12 6:33,25/8/13 23:20,26/8/13 2:54,26/8/13 9:45
Star Oddi,Starmon Mini,EAC4700,T-4068,300,1260,11000,4745,1,-27.2086,154.6471,0,-1500,25/4/12 6:33,25/8/13 23:20,26/8/13 2:57,26/8/13 9:45
Nortek DW,Aquadop DW,EAC4700,A6L-5068 (AQD 9882),1800,1460,6000,4745,1,-27.2086,154.6471,0,0,25/4/12 6:33,25/8/13 23:20,26/8/13 3:06,26/8/13 9:45
Star Oddi,Starmon Mini,EAC4700,T-4069,300,1461,11000,4745,1,-27.2086,154.6471,0,-900,25/4/12 6:33,25/8/13 23:20,26/8/13 3:14,26/8/13 9:45
Star Oddi,Starmon Mini,EAC4700,T-4070,300,1710,11000,4745,1,-27.2086,154.6471,0,-1800,25/4/12 6:33,25/8/13 23:20,26/8/13 3:17,26/8/13 9:45
Nortek DW,Aquadop DW,EAC4700,A6L-5008 (AQD 9889),1800,1960,6000,4745,1,-27.2086,154.6471,0,0,25/4/12 6:33,25/8/13 23:20,26/8/13 4:25,26/8/13 9:45
Nortek DW,Aquadop DW,EAC4700,A6L-5009 (AQD 9890),1800,2460,6000,4745,1,-27.2086,154.6471,0,5,25/4/12 6:33,25/8/13 23:20,26/8/13 4:50,26/8/13 9:45
SBE37SMP,SBE37SMP,EAC4700,9180,600,2468,3500,4745,1,-27.2086,154.6471,5,0,25/4/12 6:33,25/8/13 23:20,26/8/13 4:18,26/8/13 9:45
Nortek DW,Aquadop DW,EAC4700,A6L-5061 (AQD 9891),1800,2960,6000,4745,1,-27.2086,154.6471,0,0,25/4/12 6:33,25/8/13 23:20,26/8/13 4:36,26/8/13 9:45
Star Oddi,Starmon Mini,EAC4700,T-4071,300,2964,11000,4745,1,-27.2086,154.6471,0,-600,25/4/12 6:33,25/8/13 23:20,26/8/13 4:33,26/8/13 9:45
Nortek DW,Aquadop DW,EAC4700,A6L-5006 (AQD 9892),1800,3960,6000,4745,1,-27.2086,154.6471,0,0,25/4/12 6:33,25/8/13 23:20,26/8/13 5:14,26/8/13 9:45
SBE37SMP,SBE37SMP,EAC4700,9192,600,3994,7000,4745,1,-27.2086,154.6471,0,0,25/4/12 6:33,25/8/13 23:20,26/8/13 5:12,26/8/13 9:45
Star Oddi,Starmon Mini,EAC4800,T-4072,300,60,11000,4797,1,-27.102,155.2993,0,-600,26/4/12 9:14,26/8/13 22:24,26/8/13 23:14,27/8/13 10:30
Star Oddi,Starmon Mini,EAC4800,T-4073,300,100,11000,4797,1,-27.102,155.2993,0,0,26/4/12 9:14,26/8/13 22:24,26/8/13 23:24,27/8/13 10:30
Nortek DW,Aquadop DW,EAC4800,A6L-4881 (AQD 9893),1800,120,6000,4797,1,-27.102,155.2993,0,0,26/4/12 9:14,26/8/13 22:24,26/8/13 23:40,27/8/13 10:30
Star Oddi,Starmon Mini,EAC4800,T-4074,300,135,11000,4797,1,-27.102,155.2993,0,-300,26/4/12 9:14,26/8/13 22:24,26/8/13 23:33,27/8/13 10:30
Star Oddi,Starmon Mini,EAC4800,T-4075,300,180,11000,4797,1,-27.102,155.2993,0,0,26/4/12 9:14,26/8/13 22:24,26/8/13 23:33,27/8/13 10:30
Nortek DW,Aquadop DW,EAC4800,A6L-5064 (AQD 9894),1800,200,6000,4797,1,-27.102,155.2993,0,5,26/4/12 9:14,26/8/13 22:24,26/8/13 23:49,27/8/13 10:30
SBE37SMP,SBE37SMP,EAC4800,9181,600,202,3500,4797,1,-27.102,155.2993,5,0,26/4/12 9:14,26/8/13 22:24,26/8/13 23:40,27/8/13 10:30
Star Oddi,Starmon Mini,EAC4800,T-4076,300,300,11000,4797,1,-27.102,155.2993,0,-600,26/4/12 9:14,26/8/13 22:24,26/8/13 23:46,27/8/13 10:30
Star Oddi,Starmon Mini,EAC4800,T-4077,300,400,11000,4797,1,-27.102,155.2993,0,0,26/4/12 9:14,26/8/13 22:24,26/8/13 23:46,27/8/13 10:30
Nortek DW,Aquadop DW,EAC4800,A6L-5007 (AQD 9895),1800,600,6000,4797,1,-27.102,155.2993,0,0,26/4/12 9:14,26/8/13 22:24,27/8/13 0:01,27/8/13 10:30
Star Oddi,Starmon Mini,EAC4800,T-4078,300,604,11000,4797,1,-27.102,155.2993,0,0,26/4/12 9:14,26/8/13 22:24,26/8/13 23:57,27/8/13 10:30
Star Oddi,Starmon Mini,EAC4800,T-4079,300,800,11000,4797,1,-27.102,155.2993,0,-300,26/4/12 9:14,26/8/13 22:24,27/8/13 0:33,27/8/13 10:30
Nortek DW,Aquadop DW,EAC4800,A6L-5060 (AQD 9896),1800,1000,6000,4797,1,-27.102,155.2993,0,3,26/4/12 9:14,26/8/13 22:24,27/8/13 0:50,27/8/13 10:30
SBE37SMP,SBE37SMP,EAC4800,9182,600,1002,3500,4797,1,-27.102,155.2993,3,0,26/4/12 9:14,26/8/13 22:24,27/8/13 0:46,27/8/13 10:30
Star Oddi,Starmon Mini,EAC4800,T-4080,300,1200,11000,4797,1,-27.102,155.2993,0,0,26/4/12 9:14,26/8/13 22:24,27/8/13 0:52,27/8/13 10:30
Star Oddi,Starmon Mini,EAC4800,T-4081,300,1300,11000,4797,1,-27.102,155.2993,0,-900,26/4/12 9:14,26/8/13 22:24,27/8/13 1:10,27/8/13 10:30
Star Oddi,Starmon Mini,EAC4800,T-4082,300,1500,11000,4797,1,-27.102,155.2993,0,-300,26/4/12 9:14,26/8/13 22:24,27/8/13 1:10,27/8/13 10:30
Star Oddi,Starmon Mini,EAC4800,T-4083,300,1750,11000,4797,1,-27.102,155.2993,0,-300,26/4/12 9:14,26/8/13 22:24,27/8/13 1:19,27/8/13 10:30
Nortek DW,Aquadop DW,EAC4800,A6L-4908 (AQD 9897),1800,2000,6000,4797,1,-27.102,155.2993,0,0,26/4/12 9:14,26/8/13 22:24,27/8/13 2:25,27/8/13 10:30
Nortek DW,Aquadop DW,EAC4800,A6L-5013 (AQD 9898),1800,2800,6000,4797,1,-27.102,155.2993,0,0,26/4/12 9:14,26/8/13 22:24,27/8/13 2:36,27/8/13 10:30
Star Oddi,Starmon Mini,EAC4800,T-4003,300,3000,11000,4797,1,-27.102,155.2993,0,-600,26/4/12 9:14,26/8/13 22:24,27/8/13 3:04,27/8/13 10:30
Nortek DW,Aquadop DW,EAC4800,A6L-3654 (AQD 5928),1800,4000,6000,4797,1,-27.102,155.2993,0,0,26/4/12 9:14,26/8/13 22:24,27/8/13 3:11,27/8/13 10:30
SBE37SM,SBE37SM,EAC0200,9332,120,40,200,205,0,-27.339,153.7747,0,0,25/3/12 0:20,6/6/13 20:24,27/8/13 3:11,27/8/13 10:30
Star Oddi,Starmon Mini,EAC0200,4098,240,60,200,205,0,-27.339,153.7747,0,0,25/3/12 0:20,6/6/13 20:24,27/8/13 3:11,27/8/13 10:30
SBE37SM,SBE37SM,EAC0200,9333,120,80,200,205,0,-27.339,153.7747,0,0,25/3/12 0:20,6/6/13 20:24,27/8/13 3:11,27/8/13 10:30
Star Oddi,Starmon Mini,EAC0200,4099,240,98,200,205,0,-27.339,153.7747,0,0,25/3/12 0:20,6/6/13 20:24,27/8/13 3:11,27/8/13 10:30
RDI ADCP,WHS300,EAC0200,16679,1800,99,200,205,0,-27.339,153.7747,0,0,25/3/12 0:20,6/6/13 20:24,27/8/13 3:11,27/8/13 10:30
RDI ADCP,WHS300,EAC0200,17054,1800,100,200,205,0,-27.339,153.7747,0,0,25/3/12 0:20,6/6/13 20:24,27/8/13 3:11,27/8/13 10:30
SBE37SM,SBE37SM,EAC0200,9334,120,130,200,205,0,-27.339,153.7747,0,0,25/3/12 0:20,6/6/13 20:24,27/8/13 3:11,27/8/13 10:30
SBE37SM,SBE37SM,EAC0200,9335,120,180,200,205,0,-27.339,153.7747,0,0,25/3/12 0:20,6/6/13 20:24,27/8/13 3:11,27/8/13 10:30
Nortek DW,Aquadop DW,EAC0200,9964,1800,187,200,205,0,-27.339,153.7747,0,0,25/3/12 0:20,6/6/13 20:24,27/8/13 3:11,27/8/13 10:30
SBE37SM,SBE37SM,EAC0400,9336,120,47,1000,404,0,-27.331,153.8765,0,0,25/3/12 21:45,6/6/13 21:52,27/8/13 3:11,27/8/13 10:30
Star Oddi,Starmon Mini,EAC0400,4100,240,67,1000,404,0,-27.331,153.8765,0,0,25/3/12 21:45,6/6/13 21:52,27/8/13 3:11,27/8/13 10:30
SBE37SM,SBE37SM,EAC0400,9337,120,87,1000,404,0,-27.331,153.8765,0,0,25/3/12 21:45,6/6/13 21:52,27/8/13 3:11,27/8/13 10:30
Star Oddi,Starmon Mini,EAC0400,4101,240,99,1000,404,0,-27.331,153.8765,0,0,25/3/12 21:45,6/6/13 21:52,27/8/13 3:11,27/8/13 10:30
RDI ADCP,WHS300,EAC0400,17055,1800,100,1000,404,0,-27.331,153.8765,0,0,25/3/12 21:45,6/6/13 21:52,27/8/13 3:11,27/8/13 10:30
RDI ADCP,WHLS150,EAC0400,16923,1800,105,1000,404,0,-27.331,153.8765,0,0,25/3/12 21:45,6/6/13 21:52,27/8/13 3:11,27/8/13 10:30
SBE37SM,SBE37SM,EAC0400,9338,120,137,1000,404,0,-27.331,153.8765,0,0,25/3/12 21:45,6/6/13 21:52,27/8/13 3:11,27/8/13 10:30
